PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00132 uM,Activity at 0.00295 uM,Activity at 0.00635 uM,Activity at 0.015 uM,Activity at 0.029 uM,Activity at 0.033 uM,Activity at 0.074 uM,Activity at 0.159 uM,Activity at 0.369 uM,Activity at 0.794 uM,Activity at 1.840 uM,Activity at 3.690 uM,Activity at 4.120 uM,Activity at 9.220 uM,Activity at 19.84 uM,Activity at 46.10 uM,Activity at 92.20 uM,Compound QC
171,14740615,724234,C1CCC2=C(CC1)SC3=C2C(=O)N4CCCCC4=N3,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000533191-01/135604149,,Activator,23.1093,41.0098,,10,Single point of activity,-4.6362,4.095,0.9974,39.1579,-1.8519,3,0 0 0 0 0 0 0,36.8421,,-3.2078,,-2.125,,,-1.7678,,-1.5931,,-0.6936,,,-0.7813,,36.8421,,QC'd by ChemBridge
172,14740650,878335,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C3=NC(=NO3)C4=CC=NC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000533529-01/135604865,,Inactive,,,,0,,,3.6272,0.9841,15,-1.4427,4,0 0 0 0 0 0 0,13.2368,,-2.4523,,-1.6476,,,-1.904,,-1.616,,-0.1331,,,-1.1027,,13.2368,,QC'd by ChemBridge
173,14741105,941801,COC1=C(C=C(C=C1)C2=NC(=C(O2)NCC3=CN=CC=C3)C#N)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558475-01/135605366,,Inactive,,,,0,,,1.6924,0.9775,19,-1.4935,4,0 0 0 0 0 0 0,14.3683,,-1.9048,,-3.3279,,,-0.4601,,-1.354,,-0.735,,,2.181,,14.3683,,QC'd by InterBioScreen
174,14741108,2024413,COC1=C(C=C(C=C1)C2=NC(=C(O2)N3CCC4=CC=CC=C4C3)C#N)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558479-01/135604576,,Inactive,,,,0,,,1.7529,0.9849,18,-2.0755,4,0 0 0 0 0 0 0,14.8798,,-2.2043,,-3.3963,,,-0.74,,-2.4052,,-1.5821,,,2.5376,,14.8798,,QC'd by InterBioScreen
175,14741124,2937723,CC(CC1CC(OC1=O)(C)C)C(=O)NC2=NN=CS2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558506-01/135605914,,Inactive,,,,0,,,,,,,4,,-1.069,,-1.305,,-2.8277,,,-0.3726,,-1.6163,,-1.3428,,,-1.3417,,-1.069,,QC'd by DPISMR
176,14741325,3509753,CCSC1=CC(=NC2=C(C(=NN12)C)C3=CC=CC=C3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558904-01/135604117,,Inactive,,,,0,,,0.9641,0.9551,7,-2.7474,4,0 0 0 0 0 0 0,4.3865,,-3.5395,,-2.219,,,-2.2457,,-2.0264,,-1.2127,,,0.1894,,4.3865,,QC'd by DPISMR
177,14741415,9608982,CN1C2=CC=CC=C2N(C1=S)/N=C/C3=CC(=C(C=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558928-01/135605688,,Inactive,,,,0,,,4.095,0.9824,17,-0.7088,4,0 0 0 0 0 0 0,14.7273,,-0.9495,,-2.2573,,,0.3373,,-0.5173,,-0.4145,,,-0.5183,,14.7273,,QC'd by DPISMR
178,14741486,1960078,CC1=C(C(=O)OC2=C1C=CC(=C2)OCC3=NNN=N3)CC(=O)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558952-01/135604225,,Inactive,,,,0,,,,,,,4,,-0.6284,,-2.7994,,-1.5322,,,-1.2726,,-1.0399,,-0.0084,,,-0.4599,,-0.6284,,QC'd by DPISMR
179,14741636,3773502,CCCCC1=C2CCCCC2=C(C(=O)N1)C#N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000550868-01/135605604,,Inactive,,,,0,,,4.095,0.6098,2,-1.0313,4,0 0 0 0 0 0 0,2.1466,,-0.421,,-2.9428,,,0.0606,,-1.1614,,-0.332,,,-0.3943,,2.1466,,QC'd by DPISMR
180,14741654,1861827,CN1C2=C(C=C(C=C2)F)C3=C1C(=O)N(C=N3)CC4=CC=CO4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558872-01/135604026,,Inactive,,,,0,,,3.99,0.9279,7,-1.3462,4,0 0 0 0 0 0 0,6.8708,,-2.0834,,-2.3718,,,0.0544,,-1.1655,,-0.4988,,,-0.164,,6.8708,,QC'd by DPISMR
181,14741749,4360207,CC1=NC2=C(C(=NN2C(=C1)NCCCN3C=CN=C3)C)C4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558884-01/135605847,,Inactive,,,,0,,,2.0937,0.7852,4,-1.8584,4,0 0 0 0 0 0 0,2.8252,,-3.2153,,-1.9491,,,-1.896,,-1.3704,,-0.1319,,,-1.1488,,2.8252,,QC'd by DPISMR
182,14741788,938394,COC1=CC=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CO4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000557360-01/135603593,,Inactive,,,,0,,,2.3531,0.9394,9,-1.4513,4,0 0 0 0 0 0 0,7.1759,,-2.8761,,-1.8493,,,-1.2442,,-1.5587,,-0.0558,,,-0.4648,,7.1759,,QC'd by DPISMR
183,14741849,1858288,CN1C2=C(C=C(C=C2)OC)C3=C1C(=O)N(C=N3)CCCN4CCOCC4,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558827-01/135603907,,Activator,8.1995,41.5883,,21,Partial curve; partial efficacy,-5.0862,2.0479,0.9995,39.4654,-2.1228,2.2,0 0 0 0 0 0 0,38.0541,,-2.9365,,-2.1476,,,-2.2558,,-1.9797,,-0.2395,,,21.1581,,38.0541,,QC'd by DPISMR
184,14741949,919212,COC1=C2C=CC=C(C2=C(C=C1)C(=O)C3=CC(=C(C=C3)OC)OC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000550978-01/135605169,,Inactive,,,,0,,,0.931,0.7797,6,-1.842,4,0 0 0 0 0 0 0,3.4682,,-3.2017,,0.1448,,,-1.8331,,-2.0477,,-0.6569,,,0.0676,,3.4682,,QC'd by InterBioScreen
185,14741967,9551737,CC1=NN2C(=NN=C2C3=C(C=CC(=C3)S(=O)(=O)NC)OC)C4=CC=CC=C14.Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000551682-01/135606115,,Inactive,,,,0,,,2.3531,0.9881,24,-1.4819,4,0 0 0 0 0 0 0,20.7106,,-0.1117,,-2.3104,,,-2.4479,,-2.4849,,-0.6819,,,1.9339,,20.7106,,QC'd by InterBioScreen
186,14742149,3411886,CCN(CCO)C1=NC=NC2=C1SC3=C2C4=C(COC(C4)(C)C)C(=N3)C(C)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558137-01/135604976,,Activator,9.2,43.7442,,21,Partial curve; partial efficacy,-5.0362,1.6259,0.9958,42.3266,-1.4177,2.2,0 0 0 0 0 0 0,39.6745,,-1.7902,,-3.1472,,,0.1485,,-1.3216,,2.0684,,,19.7081,,39.6745,,QC'd by DPISMR
187,14742150,3764964,CCN(CCO)C1=NC=NC2=C1SC3=C2C4=C(COC(C4)(C)C)C(=N3)CC(C)C,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000558139-01/135604389,,Activator,20.5962,50.0988,,10,Single point of activity,-4.6862,2.3031,0.9959,48.66,-1.4388,3,0 0 0 0 0 0 0,41.8333,,-3.0777,,-0.7384,,,-1.6867,,-0.9137,,0.4422,,,5.2821,,41.8333,,QC'd by DPISMR
188,14742823,937381,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3SC2)C4=CC=CO4)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000557008-01/135605595,,Activator,16.3601,45.0487,,21,Partial curve; partial efficacy,-4.7862,1.2876,0.9972,42.8243,-2.2244,2.2,0 0 0 0 0 0 0,34.1415,,-3.1036,,-2.1306,,,-1.5838,,-1.3303,,1.2106,,,11.7702,,34.1415,,QC'd by InterBioScreen
189,14742857,2987970,COC1=CC(=C(C=C1NC(=O)C2CC(=O)NC3=C2C(=O)CCC3)OC)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559193-01/135605026,,Inactive,,,,0,,,0.7,0.7707,4,-1.6435,4,0 0 0 0 0 0 0,2.4451,,-1.4162,,-3.0363,,,-0.2896,,-1.4285,,-0.3692,,,0.0169,,2.4451,,QC'd by DPISMR
190,14742866,4360102,CC1(C(=O)N(C(C(=O)N1OCC2=CC=CC=C2C(=O)OC)(C)C)OCC3=CC=CC=C3C(=O)OC)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559534-01/135605391,,Activator,8.1995,44.1734,,21,Partial curve; partial efficacy,-5.0862,2.2526,0.9991,42.1619,-2.0115,2.2,0 0 0 0 0 0 0,41.2641,,-2.9885,,-2.2271,,,-2.1402,,-1.268,,-0.6079,,,22.8007,,41.2641,,QC'd by DPISMR
191,14743011,1848396,CCN1CCN(CC1)C2=NC3=C(C4=C(S3)CCCCC4)C(=O)N2C5=CC=C(C=C5)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559522-01/135603603,,Inactive,,,,0,,,0.7,0.7405,4,-2.1012,4,0 0 0 0 0 0 0,1.844,,-3.4177,,-0.7776,,,-2.041,,-2.1595,,-0.51,,,-0.7081,,1.844,,QC'd by DPISMR
192,14743106,135512346,CCCS/C(=N/N=C/C1=CC=CC=C1O)/N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000551306-01/135604355,,Inactive,,,,0,,,1.6436,0.907,7.5,-1.8532,4,0 0 0 0 0 0 0,5.3905,,-3.211,,-1.679,,,-1.5611,,-1.8284,,-0.1568,,,-0.2926,,5.3905,,QC'd by InterBioScreen
193,14743139,3523871,COC1=C(C=C(C=C1)C2=NN3C(=NN=C3SC2)C4CCCCC4)OC,Active,43,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000557010-01/135604058,,Activator,8.1995,87.0463,,43,Partial curve; high efficacy,-5.0862,1.6259,0.9992,85.9404,-1.1059,2.1,0 0 0 0 0 0 0,81.4767,,-1.0707,,-2.2756,,,0.3815,,-0.5375,,6.0256,,,45.2639,,81.4767,,QC'd by DPISMR
194,14743196,1834210,CC1=NN2C(=C1C3=CC=CC=C3)N=C4CCCCC4=C2NCCOCCO,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000559113-01/135605487,,Inactive,,,,0,,,1.8579,0.9569,8.5,-1.3063,4,0 0 0 0 0 0 0,6.3533,,-1.8163,,-1.5678,,,-1.9219,,-1.4218,,0.0299,,,0.1812,,6.3533,,QC'd by DPISMR
195,14744044,2376084,CC1=C(C(=NO1)C)CSC2=NC3=CC=CC=C3C(=O)N2CC=C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000564845-01/135604930,,Inactive,,,,0,,,3.2975,0.9898,23.5,-1.1669,4,0 0 0 0 0 0 0,21.1053,,-0.8399,,-3.0557,,,-0.6162,,-1.6893,,-0.7612,,,-0.1065,,21.1053,,QC'd by DPISMR
196,14744189,2618292,CCN1C(=NN=C1SCC2=NC3=CC=CC=C3S2)C4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000566277-01/135604982,,Inactive,,,,0,,,4.9549,0.6435,2,-1.6349,4,0 0 0 0 0 0 0,2.0196,,-1.8121,,-3.0291,,,0.4056,,-1.6969,,-1.2528,,,-1.4827,,2.0196,,QC'd by Enamine
197,14744333,2328549,COC1=C(C=C(C=C1)/C=C\2/C(=O)N3CCCCCC3=N2)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000536830-01/135603935,,Inactive,,,,0,,,3.2475,0.941,9.5,-1.7337,4,0 0 0 0 0 0 0,7.4923,,-3.528,,-1.7309,,,-1.8589,,-2.018,,-0.5303,,,-1.4842,,7.4923,,QC'd by Enamine
198,14744453,2303737,CCN(CC)C(=O)CCNS(=O)(=O)C1=CC=C(C=C1)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000536786-01/135603777,,Inactive,,,,0,,,,,,,4,,-1.9385,,-2.9691,,-2.8329,,,-2.1749,,-2.3988,,-1.6088,,,-2.4179,,-1.9385,,QC'd by Enamine
199,14744494,722608,C1CCC2=NC3=C(C=C(C=C3)Br)C(=O)N2CC1,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000536806-01/135605323,,Inactive,,,,0,,,,,,,4,,1.8457,,-3.1053,,-1.6507,,,-1.7234,,-1.5862,,-0.6731,,,-1.0268,,1.8457,,QC'd by Enamine
200,14744552,9681503,C/C(=N\NC(=O)C1=CC=C(C=C1)CSC2=CC=CC3=C2N=CC=C3)/C4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000565194-01/135604372,,Inactive,,,,0,,,1.3987,0.9701,12.5,-1.4721,4,0 0 0 0 0 0 0,9.5591,,-1.6602,,-2.4767,,,-0.1828,,-1.0097,,-0.5545,,,2.1417,,9.5591,,QC'd by DPISMR
201,14744703,2579357,CC1=C(SC2=NC=NC(=C12)N(C)CC3=CC=CS3)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000567292-01/135604490,,Inactive,,,,0,,,1.6436,0.9215,9.5,-1.6833,4,0 0 0 0 0 0 0,6.8358,,-1.441,,-3.0694,,,-0.2968,,-1.7387,,-0.532,,,0.115,,6.8358,,QC'd by Enamine
202,14744838,3435952,C1CC(OC1)C(=O)NC2=NN=C(S2)SCC3=C(C=CC=C3Cl)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000565806-01/135605842,,Inactive,,,,0,,,2.3031,0.9346,9,-1.3262,4,0 0 0 0 0 0 0,7.1905,,-1.65,,-2.7718,,,-0.0987,,-0.8483,,-0.7735,,,-0.1573,,7.1905,,QC'd by DPISMR
203,14745065,2348672,CC1=CC(=NC2=C1C(=C(S2)C(=O)NCC3CCCCC3)N)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000568516-01/135605423,,Inactive,,,,0,,,1.8079,0.8375,7,-1.7585,4,0 0 0 0 0 0 0,4.2854,,-3.5488,,-0.4006,,,-2.1119,,-2.5696,,-0.9569,,,-0.9042,,4.2854,,QC'd by Enamine
204,14745131,2126542,CC(=O)NCCC(=O)NC1=C(C2=C(S1)CCCC2)C3=NC4=CC=CC=C4N3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000566203-01/135605328,,Inactive,,,,0,,,,,,,4,,-0.8026,,-2.0214,,-2.6174,,,-0.4221,,-1.8205,,-1.1371,,,-1.5375,,-0.8026,,QC'd by Enamine
205,14745482,2609912,COC(=O)C1=CC=C(O1)CSC2=NC3=CC=CC=C3C(=O)N2C4=CC=CC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000566237-01/135604623,,Inactive,,,,0,,,3.6772,0.9908,20.5,-1.4601,4,0 0 0 0 0 0 0,19.4201,,-2.8834,,-1.5023,,,-1.4633,,-1.4986,,-0.2738,,,-0.5095,,19.4201,,QC'd by Enamine
206,14745584,3516032,CCN1CCN(CC1)C(C2=CN=CC=C2)C3=CC(=C4C=CC=NC4=C3O)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000564806-01/135604461,,Inactive,,,,0,,,2.0437,0.9832,16.5,-1.5094,4,0 0 0 0 0 0 0,13.2018,,-2.5078,,-1.4148,,,-1.5656,,-1.9787,,-0.0831,,,0.6153,,13.2018,,QC'd by Enamine
207,14745739,4403355,CCOC(=O)N1CCN(CC1)C(C2=CN=CC=C2)C3=C(C4=C(C=CC=N4)C=C3)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000566245-01/135605216,,Inactive,,,,0,,,1.5386,0.9921,28.5,-0.8215,4,0 0 0 0 0 0 0,22.8219,,-0.6103,,-2.3513,,,0.3448,,-0.9004,,0.0643,,,6.6599,,22.8219,,QC'd by DPISMR
208,14746289,773480,COC1=CC=C(C=C1)CSC2=NN=NN2C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000533413-01/135605705,,Inactive,,,,0,,,,,,,4,,0.383,,-3.3866,,-2.3145,,,-1.9932,,-1.6074,,-0.728,,,-0.133,,0.383,,QC'd by ChemBridge
209,14746516,2555785,CCN1C(=O)C2=CC=CC=C2C(=N1)C(=O)N[C@@H](CCSC)C3=NC4=CC=CC=C4N3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000566738-01/135604076,,Inactive,,,,0,,,2.3531,0.8808,7,-1.5128,4,0 0 0 0 0 0 0,5.6431,,-1.4758,,-2.9273,,,0.3463,,-1.3602,,-1.1618,,,-0.5929,,5.6431,,QC'd by Enamine
210,14747179,2575417,CC1=C(C2=C(C=C1)C(=CC(=O)O2)CSC3=NC4=CC=CC=C4C(=O)N3CCCO)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000568580-01/135604415,,Inactive,,,,0,,-4.6362,2.3531,0.9921,29,-1.6962,4,0 0 0 0 0 0 0,23.9841,,-3.4969,,-1.2688,,,-1.3111,,-2.4164,,-1.0318,,,1.3272,,23.9841,,QC'd by DPISMR
211,16952665,2380852,COC1=C(C=C(C=C1)C2=CSC(=N2)CC3=NN=C(N3C4=CC=CC=C4)N5CCOCC5)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000564970-01/135606078,,Inactive,,,,0,,,,,,,4,,0.3713,,-1.5889,,-2.3234,,,-0.1645,,-1.4077,,-0.7941,,,1.6611,,0.3713,,QC'd by DPISMR
212,16952678,4875681,CCOC1=C(C=C(C=C1)C2=NC(=CS2)CSC3=NN=C(S3)C)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000567823-01/135603519,,Inactive,,,,0,,,1.7529,0.9212,10,-1.5063,4,0 0 0 0 0 0 0,7.0148,,-3.3385,,-1.6695,,,-1.7189,,-1.4501,,0.0092,,,-0.0379,,7.0148,,QC'd by DPISMR
213,16952757,2473799,CC1=C(SC=C1)C(=O)NC2=CC(=NN2C3=CC=CC=C3)C(C)(C)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000565267-01/135603681,,Inactive,,,,0,,,,,,,4,,-0.4363,,-3.0916,,-1.9988,,,-1.8811,,-1.7088,,-0.1672,,,-0.7143,,-0.4363,,QC'd by DPISMR
214,16952834,2473638,CCCN1C2=C(C(=CC(=N2)C3=CC=CO3)C(=O)OCC)C(=O)N(C1=O)CCC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000565247-01/135605480,,Inactive,,,,0,,,1.6436,0.6937,5,-0.9035,4,0 0 0 0 0 0 0,2.7808,,-1.3478,,-2.8362,,,0.0672,,-0.6846,,-0.0469,,,-0.4714,,2.7808,,QC'd by DPISMR
215,16953704,2498342,CC1=C(OC2=C1C=C(C=C2)Br)C(=O)NCC3=CC=CS3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000571609-01/135604096,,Inactive,,,,0,,,4.9549,0.9148,5,-1.3587,4,0 0 0 0 0 0 0,4.9562,,-1.52,,-2.7989,,,-0.8338,,-2.0104,,-0.5849,,,-1.1887,,4.9562,,QC'd by Enamine
216,16953953,2310759,CCCOC1=CC2=C(C=C1)C(=O)C(=C(O2)C)C3=C(OC(=C3)C(=O)OC)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000568978-01/135604344,,Inactive,,,,0,,,,,,,4,,0.4447,,-1.5087,,-2.0188,,,-0.064,,-1.2773,,-0.1145,,,0.2233,,0.4447,,QC'd by DPISMR
217,17385814,838370,CN1C2=CC=CC=C2SC1=NC3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000539159-01/135605862,,Inactive,,,,0,,,2.6384,0.8939,9,-1.0854,4,0 0 0 0 0 0 0,7.2179,,-1.4388,,-2.5712,,,0.6521,,-0.9806,,0.0521,,,-0.4667,,7.2179,,QC'd by DPISMR
218,17385881,833976,C1=CC=C(C(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=CC=C3F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000540077-01/135604570,,Inactive,,,,0,,,4.095,0.7619,3.5,-1.7729,4,0 0 0 0 0 0 0,3.2325,,-2.0296,,-3.5607,,,-0.0637,,-1.9277,,-1.0866,,,-1.1521,,3.2325,,QC'd by Specs
219,17386203,1222996,C1CCN(CC1)C(=O)C2=CC=C(C=C2)COC3=CC=CC=C3Br,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000537493-01/135605597,,Inactive,,,,0,,,1.6436,0.9039,5,-2.0769,4,0 0 0 0 0 0 0,2.8611,,-2.9807,,-2.1842,,,-2.4709,,-2.348,,-0.8857,,,-1.3424,,2.8611,,QC'd by DPISMR
220,17386244,9541048,CCOC(=O)COC1=C(C=C(C=C1)/C=C/2\C(=O)N(C(=NC3=CC=CC=C3)S2)CC4=CN=CC=C4)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000537506-01/135604628,,Inactive,,,,0,,,2.0437,0.9914,26.5,-1.5575,4,0 0 0 0 0 0 0,21.0837,,-1.9544,,-2.9645,,,-0.3786,,-1.6515,,-0.9553,,,2.1204,,21.0837,,QC'd by Specs
221,17386470,6825,C1=CC=C2C(=C1)C=CC(=C2N=NC3=CC=CC=N3)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000540127-01/135604678,,Inactive,,,,0,,,2.0937,0.8927,7,-1.6649,4,0 0 0 0 0 0 0,5.0775,,-1.7717,,-3.0541,,,-0.227,,-1.7284,,-0.9255,,,-0.7834,,5.0775,,QC'd by Specs
222,17386649,851892,COC(=O)NC1=NC(=C(S1)C(=O)C2=CC=CC=C2)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000537583-01/135605935,,Inactive,,,,0,,-4.6362,1.7529,0.9951,31.5,-1.8651,4,0 0 0 0 0 0 0,23.8732,,-3.2209,,-1.4033,,,-1.6966,,-2.1735,,-0.7441,,,3.7576,,23.8732,,QC'd by Specs
223,17387062,1236985,C1=CC=C2C(=C1)C=CC3=C2OC(=CC3=O)C(Cl)(Cl)Cl,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000545149-01/135605659,,Activator,4.1095,40.4223,,10,Single point of activity,-5.3862,2.6384,0.9991,38.1193,-2.303,3,0 0 0 0 0 0 1,14.6781,,-3.1691,,-2.1559,,,-2.0818,,-1.8745,,1.8872,,,33.9068,,14.6781,,QC'd by Specs
224,17387118,903355,CC1=CC=C(C=C1)/C=C/C(=O)N2CCC3=CC=CC=C3C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000543655-01/135605240,,Inactive,,,,0,,,,,,,4,,1.9135,,-1.5676,,-2.9251,,,0.2447,,-1.6976,,-1.0589,,,-0.9165,,1.9135,,QC'd by DPISMR
225,17387186,5211566,CC1=CC(=NC2=C1C3=C(S2)C(C(=C(O3)N)C#N)C4=CC=CC=C4)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000545208-01/135604517,,Inactive,,,,0,,,4.095,0.925,15.5,-2.2875,4,0 0 0 0 0 0 0,11.5335,,-3.1563,,-2.1069,,,-1.997,,-1.3627,,3.1406,,,19.4535,,11.5335,,QC'd by DPISMR
226,17387389,9625936,CC(C(=O)N/N=C/C1=CC(=C(C=C1)OC)OC)N2C3=CC=CC=C3N=N2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000544337-01/135604850,,Inactive,,,,0,,-4.6362,2.3031,0.9916,30.5,-1.0794,4,0 0 0 0 0 0 0,25.1268,,-1.1824,,-2.5662,,,0.1856,,-0.3076,,-0.4237,,,2.5751,,25.1268,,QC'd by DPISMR
227,17387407,852312,CCSC1=NC(=NC(=C1)N2CCCC2)C3=CC=CC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000325026-01/135605524,,Inactive,,,,0,,,,,,,4,,1.3329,,-1.0197,,-2.9139,,,-0.3062,,-1.2333,,-0.4021,,,-0.4146,,1.3329,,QC'd by Specs
228,17387631,1001549,CCN1C(=C(C=N1)/C=C/C(=O)NC2=C(C(=C(S2)C(=O)OCC)C)C(=O)OCC)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000544195-01/135606000,,Inactive,,,,0,,,1.4487,0.9123,5,-1.2533,4,0 0 0 0 0 0 0,4.5011,,-1.4608,,-2.7111,,,-0.2443,,-0.8624,,-0.7003,,,2.4324,,4.5011,,QC'd by DPISMR
229,17387858,823215,C=CCN1C(=O)SCC(=N1)C2=CC=C(S2)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS000545460-01/135604650,,Inactive,,,,0,,,4.5045,0.8255,5,-0.7549,4,0 0 0 0 0 0 0,4.363,,-0.9306,,-2.2958,,,0.0969,,-1.4192,,0.4559,,,-0.7078,,4.363,,QC'd by Specs
